编号,时间,星期,季节,设备位置,设备名称,设备唯一标识符,设备状态
1,2016/2/19 7:30,5,winter,bedroom,light,7,ON
2,2016/2/19 7:31,5,winter,living_room,light,1,ON
3,2016/2/19 7:31,5,winter,living_room,air_conditioner,3,ON
4,2016/2/19 7:32,5,winter,Washroom,heater,8,ON
5,2016/2/19 7:32,5,winter,kitchen,electric_cookers,9,ON
6,2016/2/19 7:32,5,winter,study,curtain,4,ON
7,2016/2/19 7:33,5,winter,living_room,soft_music,6,ON
8,2016/2/19 7:33,5,winter,living_room,TV,5,ON
9,2016/2/19 7:40,5,winter,Washroom,heater,8,OFF
10,2016/2/19 8:00,5,winter,kitchen,electric_cookers,9,OFF
11,2016/2/19 8:30,5,winter,living_room,TV,5,OFF
12,2016/2/19 8:30,5,winter,living_room,soft_music,6,OFF
13,2016/2/19 8:30,5,winter,living_room,air_conditioner,3,OFF
14,2016/2/19 8:30,5,winter,living_room,light,1,OFF
15,2016/2/19 8:30,5,winter,bedroom,light,7,OFF
16,2016/2/19 11:30,5,winter,living_room,soft_music,6,ON
17,2016/2/19 11:30,5,winter,living_room,air_conditioner,3,ON
18,2016/2/19 14:32,5,winter,living_room,soft_music,6,OFF
19,2016/2/19 14:32,5,winter,living_room,air_conditioner,3,OFF
20,2016/2/19 17:31,5,winter,living_room,light,1,ON
21,2016/2/19 17:31,5,winter,living_room,air_conditioner,3,ON
22,2016/2/19 17:30,5,winter,study,curtain,4,OFF
23,2016/2/19 17:30,5,winter,kitchen,electric_cookers,9,ON
24,2016/2/19 17:30,5,winter,living_room,TV,5,ON
25,2016/2/19 18:29,5,winter,kitchen,electric_cookers,9,OFF
26,2016/2/19 21:01,5,winter,bedroom,light,7,ON
27,2016/2/19 21:01,5,winter,Washroom,heater,8,ON
28,2016/2/19 21:10,5,winter,Washroom,heater,8,OFF
29,2016/2/19 21:29,5,winter,living_room,TV,5,OFF
30,2016/2/19 21:29,5,winter,living_room,air_conditioner,3,OFF
31,2016/2/19 21:29,5,winter,living_room,light,1,OFF
32,2016/2/19 21:29,5,winter,bedroom,light,7,OFF
33,2016/2/20 8:33,6,winter,bedroom,light,7,ON
34,2016/2/20 8:33,6,winter,living_room,light,1,ON
35,2016/2/20 8:33,6,winter,living_room,air_conditioner,3,ON
36,2016/2/20 8:33,6,winter,Washroom,heater,8,ON
37,2016/2/20 8:33,6,winter,kitchen,electric_cookers,9,ON
38,2016/2/20 8:33,6,winter,study,curtain,4,ON
39,2016/2/20 8:33,6,winter,living_room,soft_music,6,ON
40,2016/2/20 8:33,6,winter,living_room,TV,5,ON
41,2016/2/20 9:29,6,winter,Washroom,heater,8,OFF
42,2016/2/20 9:31,6,winter,kitchen,electric_cookers,9,OFF
43,2016/2/20 10:02,6,winter,living_room,TV,5,OFF
44,2016/2/20 10:02,6,winter,living_room,soft_music,6,OFF
45,2016/2/20 10:02,6,winter,living_room,air_conditioner,3,OFF
46,2016/2/20 10:02,6,winter,bedroom,light,7,OFF
47,2016/2/20 10:02,6,winter,living_room,light,1,OFF
48,2016/2/20 13:01,6,winter,living_room,soft_music,6,ON
49,2016/2/20 13:01,6,winter,living_room,air_conditioner,3,ON
50,2016/2/20 14:05,6,winter,living_room,air_conditioner,3,OFF
51,2016/2/20 14:05,6,winter,living_room,soft_music,6,OFF
52,2016/2/20 18:03,6,winter,living_room,light,1,ON
53,2016/2/20 18:03,6,winter,living_room,air_conditioner,3,ON
54,2016/2/20 18:03,6,winter,study,curtain,4,OFF
55,2016/2/20 18:03,6,winter,kitchen,electric_cookers,9,ON
56,2016/2/20 18:03,6,winter,living_room,TV,5,ON
57,2016/2/20 19:01,6,winter,kitchen,electric_cookers,9,OFF
58,2016/2/20 21:59,6,winter,bedroom,light,7,ON
59,2016/2/20 21:59,6,winter,Washroom,heater,8,ON
60,2016/2/20 22:30,6,winter,Washroom,heater,8,OFF
61,2016/2/20 22:30,6,winter,living_room,TV,5,OFF
62,2016/2/20 22:30,6,winter,living_room,air_conditioner,3,OFF
63,2016/2/20 22:30,6,winter,living_room,light,1,OFF
64,2016/2/20 22:31,6,winter,bedroom,light,7,OFF
65,2016/2/21 8:30,7,winter,bed_room,light,7,ON
66,2016/2/21 8:32,7,winter,living_room,light,1,ON
67,2016/2/21 8:32,7,winter,living_room,air_conditioner,3,ON
68,2016/2/21 8:32,7,winter,living_room,heater,8,ON
69,2016/2/21 8:32,7,winter,living_room,electric_cookers,9,ON
70,2016/2/21 8:32,7,winter,liviing_room,soft_music,6,ON
71,2016/2/21 8:32,7,winter,living_room,curtain,4,ON
72,2016/2/21 8:33,7,winter,living_room,TV,5,ON
73,2016/2/21 9:06,7,winter,Washroom,heater,8,OFF
74,2016/2/21 9:35,7,winter,kitchen,electric_cookers,9,OFF
75,2016/2/21 10:04,7,winter,living_room,TV,5,OFF
76,2016/2/21 10:04,7,winter,living_room,soft_music,6,OFF
77,2016/2/21 10:04,7,winter,bedroom,light,7,OFF
78,2016/2/21 10:04,7,winter,living_room,light,1,OFF
79,2016/2/21 10:04,7,winter,living_room,air_conditioner,3,OFF
80,2016/2/21 12:57,7,winter,living_room,soft_music,6,ON
81,2016/2/21 12:58,7,winter,living_room,air_conditioner,3,ON
82,2016/2/21 14:01,7,winter,living_room,soft_music,6,OFF
83,2016/2/21 14:01,7,winter,living_room,air_conditioner,3,OFF
84,2016/2/21 17:58,7,winter,living_room,light,1,ON
85,2016/2/21 17:58,7,winter,living_room,air_conditioner,3,ON
86,2016/2/21 17:58,7,winter,study,curtain,4,OFF
87,2016/2/21 17:59,7,winter,kitchen,electric_cookers,9,ON
88,2016/2/21 17:59,7,winter,living_room,TV,5,ON
89,2016/2/21 19:02,7,winter,kitchen,electric_cookers,9,OFF
90,2016/2/21 21:58,7,winter,bedroom,light,7,ON
91,2016/2/21 21:58,7,winter,Washroom,heater,8,ON
92,2016/2/21 22:35,7,winter,Washroom,heater,8,OFF
93,2016/2/21 22:37,7,winter,Washroom,TV,5,OFF
94,2016/2/21 22:37,7,winter,living_room,air_conditioner,3,OFF
95,2016/2/21 22:37,7,winter,living_room,light,1,OFF
96,2016/2/21 22:37,7,winter,bedroom,light,7,OFF
97,2016/2/22 7:33,1,winter,bedroom,light,7,ON
98,2016/2/22 7:33,1,winter,living_room,light,1,ON
99,2016/2/22 7:33,1,winter,living_room,air_conditioner,3,ON
100,2016/2/22 7:33,1,winter,Washroom,heater,8,ON
101,2016/2/22 7:33,1,winter,kitchen,electric_cookers,9,ON
102,2016/2/22 7:33,1,winter,study,curtain,4,ON
103,2016/2/22 7:33,1,winter,living_room,soft_music,6,ON
104,2016/2/22 7:33,1,winter,living_room,TV,5,ON
105,2016/2/22 7:46,1,winter,Washroom,heater,8,OFF
106,2016/2/22 8:01,1,winter,kitchen,electric_cookers,9,OFF
107,2016/2/22 8:26,1,winter,living_room,TV,5,OFF
108,2016/2/22 8:26,1,winter,living_room,soft_music,6,OFF
109,2016/2/22 8:26,1,winter,bedroom,light,7,OFF
110,2016/2/22 8:26,1,winter,living_room,air_conditioner,3,OFF
111,2016/2/22 8:26,1,winter,living_room,light,1,OFF
112,2016/2/22 11:31,1,winter,living_room,soft_music,6,ON
113,2016/2/22 11:31,1,winter,living_room,air_conditioner,3,ON
114,2016/2/22 14:29,1,winter,living_room,soft_music,6,OFF
115,2016/2/22 14:29,1,winter,living_room,air_conditioner,3,OFF
116,2016/2/22 17:34,1,winter,living_room,light,1,ON
117,2016/2/22 17:34,1,winter,living_room,air_conditioner,3,ON
118,2016/2/22 17:34,1,winter,study,curtain,4,OFF
119,2016/2/22 17:34,1,winter,kitchen,electric_cookers,9,ON
120,2016/2/22 17:35,1,winter,living_room,TV,5,ON
121,2016/2/22 18:27,1,winter,kitchen,electric_cookers,9,OFF
122,2016/2/22 21:01,1,winter,bedroom,light,7,ON
123,2016/2/22 21:01,1,winter,Washroom,heater,8,ON
124,2016/2/22 21:15,1,winter,Washroom,heater,8,OFF
125,2016/2/22 21:33,1,winter,living_room,TV,5,OFF
126,2016/2/22 21:33,1,winter,living_room,air_conditioner,3,OFF
127,2016/2/22 21:33,1,winter,living_room,light,1,OFF
128,2016/2/22 21:34,1,winter,bedroom,light,7,OFF
129,2016/2/23 7:29,2,winter,bedroom,light,7,ON
130,2016/2/23 7:29,2,winter,living_room,air_conditioner,3,ON
131,2016/2/23 7:30,2,winter,living_room,light,1,ON
132,2016/2/23 7:30,2,winter,study,curtain,4,ON
133,2016/2/23 7:30,2,winter,Washroom,heater,8,ON
134,2016/2/23 7:30,2,winter,kitchen,electric_cookers,9,ON
135,2016/2/23 7:30,2,winter,living_room,soft_music,6,ON
136,2016/2/23 7:30,2,winter,living_room,TV,5,ON
