编号,时间,星期,季节,设备位置,设备名称,设备唯一标识符,设备状态
1,2016/3/5 8:30,6,spring,bedroom,light,7,ON
2,2016/3/5 8:30,6,spring,living_room,light,1,ON
3,2016/3/5 8:30,6,spring,living_room,air_conditioner,3,ON
4,2016/3/5 8:31,6,spring,Washroom,heater,8,ON
5,2016/3/5 8:31,6,spring,kitchen,electric_cookers,9,ON
6,2016/3/5 8:31,6,spring,study,curtain,4,ON
7,2016/3/5 8:32,6,spring,living_room,soft_music,6,ON
8,2016/3/5 8:33,6,spring,living_room,TV,5,ON
9,2016/3/5 9:01,6,spring,Washroom,heater,8,OFF
10,2016/3/5 9:30,6,spring,kitchen,electric_cookers,9,OFF
11,2016/3/5 9:50,6,spring,living_room,TV,5,OFF
12,2016/3/5 9:51,6,spring,living_room,soft_music,6,OFF
13,2016/3/5 9:52,6,spring,living_room,air_conditioner,3,OFF
14,2016/3/5 9:53,6,spring,bedroom,light,7,OFF
15,         2016/3/5 9:55:35 ,6,spring,living_room,light,1,OFF
16,         2016/3/5 13:03:20 ,6,spring,living_room,soft_music,6,ON
17,         2016/3/5 13:03:55 ,6,spring,living_room,air_conditioner,3,ON
18,         2016/3/5 14:00:46 ,6,spring,living_room,air_conditioner,3,OFF
19,         2016/3/5 14:01:02 ,6,spring,living_room,soft_music,6,OFF
20,         2016/3/5 18:01:48 ,6,spring,living_room,light,1,ON
21,         2016/3/5 18:02:00 ,6,spring,living_room,air_conditioner,3,ON
22,         2016/3/5 18:02:10 ,6,spring,study,curtain,4,OFF
23,         2016/3/5 18:02:15 ,6,spring,kitchen,electric_cookers,9,ON
24,         2016/3/5 18:02:52 ,6,spring,living_room,TV,5,ON
25,         2016/3/5 19:00:53 ,6,spring,kitchen,electric_cookers,9,OFF
26,         2016/3/5 22:00:54 ,6,spring,bedroom,light,7,ON
27,         2016/3/5 22:01:00 ,6,spring,Washroom,heater,8,ON
28,         2016/3/5 22:11:06 ,6,spring,Washroom,heater,8,OFF
29,         2016/3/5 22:30:57 ,6,spring,living_room,TV,5,OFF
30,         2016/3/5 22:31:00 ,6,spring,living_room,air_conditioner,3,OFF
31,         2016/3/5 22:31:02 ,6,spring,living_room,light,1,OFF
32,         2016/3/5 22:31:08 ,6,spring,bedroom,light,7,OFF
33,2016/3/6 8:33,7,spring,bedroom,light,7,ON
34,2016/3/6 8:33,7,spring,living_room,light,1,ON
35,2016/3/6 8:33,7,spring,living_room,air_conditioner,3,ON
36,2016/3/6 8:33,7,spring,Washroom,heater,8,ON
37,2016/3/6 8:33,7,spring,kitchen,electric_cookers,9,ON
38,2016/3/6 8:33,7,spring,study,curtain,4,ON
39,2016/3/6 8:33,7,spring,living_room,soft_music,6,ON
40,2016/3/6 8:33,7,spring,living_room,TV,5,ON
41,2016/3/6 9:02,7,spring,Washroom,heater,8,OFF
42,2016/3/6 9:33,7,spring,kitchen,electric_cookers,9,OFF
43,         2016/3/6 10:00:12 ,7,spring,living_room,TV,5,OFF
44,         2016/3/6 10:00:18,7,spring,living_room,soft_music,6,OFF
45,         2016/3/6 10:00:19,7,spring,living_room,air_conditioner,3,OFF
46,         2016/3/6 10:00:20,7,spring,bedroom,light,7,OFF
47,         2016/3/6 10:00:21,7,spring,living_room,light,1,OFF
48,         2016/3/6 13:00:22,7,spring,living_room,soft_music,6,ON
49,         2016/3/6 13:00:35,7,spring,living_room,air_conditioner,3,ON
50,         2016/3/6 14:01:24,7,spring,living_room,air_conditioner,3,OFF
51,         2016/3/6 14:01:30,7,spring,living_room,soft_music,6,OFF
