{'week': 5, 'device_location': 'bedroom', 'season ': 4, 'device_status': 1, 'device_name': 'light', 'days_after_1970': 16850, 'time_field_segment': 15, 'device_id': 7}
{'week': 5, 'device_location': 'living_room', 'season ': 4, 'device_status': 1, 'device_name': 'light', 'days_after_1970': 16850, 'time_field_segment': 15, 'device_id': 1}
{'week': 5, 'device_location': 'Washroom', 'season ': 4, 'device_status': 1, 'device_name': 'heater', 'days_after_1970': 16850, 'time_field_segment': 15, 'device_id': 8}
{'week': 5, 'device_location': 'kitchen', 'season ': 4, 'device_status': 1, 'device_name': 'electric_cookers', 'days_after_1970': 16850, 'time_field_segment': 15, 'device_id': 9}
{'week': 5, 'device_location': 'study', 'season ': 4, 'device_status': 1, 'device_name': 'curtain', 'days_after_1970': 16850, 'time_field_segment': 15, 'device_id': 4}
{'week': 5, 'device_location': 'living_room', 'season ': 4, 'device_status': 1, 'device_name': 'soft_music', 'days_after_1970': 16850, 'time_field_segment': 15, 'device_id': 6}
{'week': 5, 'device_location': 'living_room', 'season ': 4, 'device_status': 1, 'device_name': 'TV', 'days_after_1970': 16850, 'time_field_segment': 15, 'device_id': 5}
{'week': 5, 'device_location': 'Washroom', 'season ': 4, 'device_status': 1, 'device_name': 'heater', 'days_after_1970': 16850, 'time_field_segment': 15, 'device_id': 8}
{'week': 5, 'device_location': 'kitchen', 'season ': 4, 'device_status': 1, 'device_name': 'electric_cookers', 'days_after_1970': 16850, 'time_field_segment': 16, 'device_id': 9}
{'week': 5, 'device_location': 'living_room', 'season ': 4, 'device_status': 1, 'device_name': 'TV', 'days_after_1970': 16850, 'time_field_segment': 17, 'device_id': 5}
{'week': 5, 'device_location': 'living_room', 'season ': 4, 'device_status': 1, 'device_name': 'soft_music', 'days_after_1970': 16850, 'time_field_segment': 17, 'device_id': 6}
{'week': 5, 'device_location': 'living_room', 'season ': 4, 'device_status': 1, 'device_name': 'air_conditioner', 'days_after_1970': 16850, 'time_field_segment': 17, 'device_id': 3}
